Blade|movie,3.30628724973
Captain America: The First Avenger|movie,3.30583659067
Jumanji|movie,3.30555334959
Valkyrie|movie,3.30445399031
Harold & Kumar Go to White Castle|movie,3.30413239976
Jack Reacher|movie,3.30396982605
The Princess and the Frog|movie,3.30381433398
Gremlins|movie,3.30336931698
I Love You\, Man|movie,3.3025098728
Trading Places|movie,3.29870948893
Beverly Hills Cop|movie,3.29692985486
Pirates of the Caribbean: On Stranger Tides|movie,3.29540763767
Dredd|movie,3.29416153022
Planes\, Trains and Automobiles|movie,3.29162068563
The Chronicles of Narnia: The Lion\, the Witch and the Wardrobe|movie,3.28719282019
Mr. & Mrs. Smith|movie,3.28199617145
Galaxy Quest|movie,3.27983231303
Marley & Me|movie,3.27957157652
Mission: Impossible III|movie,3.27784723475
X-Men: The Last Stand|movie,3.27723341023
Men in Black 3|movie,3.27598843446
Mrs. Doubtfire|movie,3.27535747679
The Mask|movie,3.27484071424
Madagascar|movie,3.27434724309
Friends With Benefits|movie,3.2731312413
The Holiday|movie,3.27213305826
National Treasure|movie,3.27202759218
Ocean's Thirteen|movie,3.27065382913
Hellboy|movie,3.26925996017
Crank|movie,3.26891629032
Robin Hood|movie,3.26652302812
Definitely\, Maybe|movie,3.26591402464
Austin Powers: International Man of Mystery|movie,3.2645247006
Role Models|movie,3.26125632409
Bridesmaids|movie,3.26121333974
Ghost|movie,3.26116917144
Spaceballs|movie,3.26084873108
Terminator Salvation|movie,3.25859784315
Raising Arizona|movie,3.25571295962
The Color Purple|movie,3.2551828605
Hotel Transylvania|movie,3.25394914416
Jarhead|movie,3.25279531659
A Time to Kill|movie,3.25072531527
The A-Team|movie,3.25065280412
Enchanted|movie,3.24895951749
My Sister's Keeper|movie,3.24668760574
Star Wars: Episode II -- Attack of the Clones|movie,3.24431517851
The Negotiator|movie,3.24214988398
The Matrix Revolutions|movie,3.24177714962
Home Alone 2: Lost in New York|movie,3.24133818923
Underworld: Evolution|movie,3.24006868232
Unknown|movie,3.23999395738
The Warriors|movie,3.2379084984
Tron: Legacy|movie,3.23365367103
Pocahontas|movie,3.23243546421
My Cousin Vinny|movie,3.23210969416
Con Air|movie,3.23035148655
Godzilla|movie,3.22990812618
The Sandlot|movie,3.22859664264
Fast & Furious|movie,3.22826476896
The Fast and the Furious|movie,3.22826476896
Disturbia|movie,3.22608820377
X-Men Origins: Wolverine|movie,3.22466283514
Ice Age: Dawn of the Dinosaurs|movie,3.22397434991
Death at a Funeral|movie,3.21732306885
Due Date|movie,3.2170651729
Ice Age: The Meltdown|movie,3.21657951254
Liar Liar|movie,3.21471130729
